id,firstName,lastName,worksTotal,gender,image,imageUrl,wikipediaUrl,notes,thumbnailFile,wikiDataId
793,Hugh,Finlay,14,male,,,,,,
678,T,Dean,14,,,,,,,
2903,George,Walton,14,male,,,,,,
2287,Elizabeth,Gray,14,female,,,,,,
722,William,Rasche,14,male,,,,,,
2015,Frederick Horatio,Bruford,14,male,,,,,,
2598,Charles,Nettleton,14,male,,,,,,
1920,Robert Proctor,Beauchamp,14,male,,,,,,
2611,Timothy,Noble,14,male,,,,,,
2894,Alan Cameron,Walker,13,male,,,,,,
2702,David G,Reid,13,male,,,,,,
39,Percy E,Williams,13,male,,,,,,
2295,Mary Augusta,Greig,13,female,,,,,,
696,Mina W,Mulligan,13,,,,,,,
492,Miss P M,Cobbett,13,female,,,,,,
1702,Emily A,Thomas,13,female,,,,,,
2372,Mabel Madeline,Hookey,13,female,,,,,,
1969,Robert William,Bugg,13,male,,,,,,
2104,James Waltham,Curtis,13,male,,,,,,
1062,Robert Hawker,Dowling,13,male,,,,,,
1614,Maria Jane,Scott,13,female,,,,,,
451,Frank,Powne,13,male,,,,,,
672,Miss Ada A,Bell,12,female,,,,,,
2064,Tennyson,Cole,12,,,,,,,
270,W J,Thomas,12,,,,,,,
802,Mrs. Lily,Haege,12,female,,,,,,
1647,Henry Robinson,Smith,12,male,,,,,,
2187,Myra,Felton,12,,,,,,,
2024,Neville Henry Penniston,Cayley,12,male,,,,,,
960,M A,Campbell,12,,,,,,,
2561,John Stirling,Moore,12,male,,,,,,
2133,John W,Deering,12,male,,,,,,
2258,Julian J,Gibbs,12,male,,,,,,
1995,John Mitchell,Cantle,12,male,,,,,,
351,Miss L,Plummer,12,female,,,,,,
2807,Clara,Southern,12,female,,,,,,
2190,Marion,Ferdinando,12,female,,,,,,
665,,Mann,12,,,,,,,
657,A S,McGregor,12,,,,,,,
2373,Margaret Anderson,Hope,12,female,,,,,,
751,Gregory,Macintosh,12,male,,,,,,
1138,Harry Pelling (or Pelham?).,Gill,12,male,,,,,,
172,Aston J,Watkins,12,male,,,,,,
2484,Sydney,Long,12,,,,,,,
556,Miss A,Riddell,12,female,,,,,,
622,W D,Bayly,12,,,,,,,
1323,Henry Grant,Lloyd,12,male,,,,,,
222,Thomas,Richardson,12,male,,,,,,
2280,,"Charles Potter, New South Wales Government Printer",12,,,,,,,
779,Hetty,Dymock,12,,,,,,,
229,Arthur D,Riley,12,male,,,,,,
653,Anne,Dobson,11,female,,,,,,
573,Mary H,Livingston,11,female,,,,,,
2508,James,Marshall,11,male,,,,,,
400,J W Buxton,Knight,11,,,,,,,
242,Clarendon,Stuart,11,,,,,,,
184,A L,Brunkhorst,11,,,,,,,
551,J A,Monsigny,11,,,,,,,
681,William J.,Taylor,11,male,,,,,,
752,Miss Louise,Haight,11,female,,,,,,
2215,George,Forsyth,11,male,,,,,,
924,Emma Minnie,Boyd,11,female,,,,,,
705,J F,Byrne,11,,,,,,,
2445,Douglas Thomas,Kilburn,11,male,,,,,,
2697,Henry J,Recknall,11,male,,,,,,
2907,John Samuel,Watkins,11,male,,,,,,
2411,William H,Jarrett,11,male,,,,,,
1902,Thomas Tyrwhitt,Balcombe,11,male,,,,,,
1844,Percival,Ball,11,male,,,,,,
72,Thomas W,Nutt,11,male,,,,,,
127,George Baird,Shaw,11,male,,,,,,
97,Francis Winfield,Robinson,11,male,,,,,,
1394,Louisa Anne,Meredith,11,female,,,,,1394.jpg,Q531358
1785,Jane,Wilkinson,11,female,,,,,,
2830,,Survey Branch of the Department of Lands,11,,,,,,,
635,Pablo,Petrovitz,11,male,,,,,,
2619,,"Charles Potter, New South Wales Government Printer",10,,,,,,,
2075,Edward,Combes,10,male,,,,,,
2099,Annie C,Creagh,10,female,,,,,,
541,Wollaston J,Thomas,10,,,,,,,
1319,Emile,Leysalle,10,,,,,,,
2045,Joseph Augustus,Clarke,10,male,,,,,,
2461,George,Lacy,10,male,,,,,,
1615,Eugene Montagu,Scott,10,male,,,,,,
251,Edith,Deane,10,female,,,,,,
2706,Amy A,Reynolds,10,female,,,,,,
774,E,Parnell,10,,,,,,,
2776,Emily E,Sherwin,10,female,,,,,,
590,Isa,Rielly,10,,,,,,,
1246,Edward,Hulme,10,male,,,,,,
2247,Frederick Augustus,Garling,10,male,,,,,,
120,John,Sands,10,male,,,,,,
2690,James Peter,Quinn,10,male,,,,,,
1549,John Thomas,Richardson,10,male,,,,,,
497,Thomas A.,Kelly,10,male,,,,,,
139,William,Lovegrove,10,male,,,,,,
1881,George French,Angas,10,male,,,,,1881.jpg,Q3101586
279,Miss Ann,Biddell,10,female,,,,,,
2137,Thomas,Devoy,10,male,,,,,,
2173,William Francis,Emery,10,male,,,,,,
648,D H,Batchen,10,,,,,,,
2931,Jane Wilkinson,Whyte,10,female,,,,,,
1018,Thomas Selby,Cousins,10,male,,,,,,
307,H T,Worsley,10,,,,,,,
1309,Maria,Lempriere,10,female,,,,,,
148,John,Haselden,10,male,,,,,,
67,,De Gruchy and Leigh,10,,,,,,,
66,John,Noone,10,male,,,,,,
520,Elijah,Walton,10,male,,,,,,
